sifra;naziv;vpc;mpc;pakovanje;grupa;redoslijed;oznaka;akcija_postotak;slika;aktivno
27;REZANAC UKUS 400g;1,41;1,65;1/10;Tjestenina;1;;;27.png;
28;ŠKOLJKICA UKUS 400g;1,15;1,35;1/20;Tjestenina;1;;;28.jpg;
29;MALI MAKARON UKUS 400g;1,15;1,35;1/20;Tjestenina;1;;;29.png;
30;VELIKI MAKARON UKUS 400g;1,15;1,35;1/20;Tjestenina;1;;;30.png;
31;SPIRALA UKUS 400g;1,15;1,35;1/20;Tjestenina;1;;;31.png;
32;ZVJEZDICA UKUS 400g;1,15;1,35;1/20;Tjestenina;1;;;32.png;
34;TARHANA KISELA UKUS 400g;1,15;1,35;1/20;Tjestenina;1;;;34.png;
35;TARHANA UKUS 400g;1,15;1,35;1/20;Tjestenina;1;;;35.png;
36;FIDELIN UKUS 400g;1,41;1,65;1/10;Tjestenina;1;;;36.png;
37;BROJEVI I SLOVA UKUS 400g;1,15;1,35;1/20;Tjestenina;1;;;37.png;
42;ŠIROKI REZANAC UKUS 400g;1,41;1,65;1/10;Tjestenina;1;;;42.png;
43;FIDELIN MALI UKUS 400g;1,15;1,35;1/20;Tjestenina;1;;;43.png;
44;SREDNJI MAKARON UKUS 400g;1,15;1,35;1/20;Tjestenina;1;;;44.png;
45;PIKOLO MAKARON UKUS 400g;1,15;1,35;1/20;Tjestenina;1;;;45.png;
47;KOSI MAKARON UKUS 400g;1,15;1,35;1/20;Tjestenina;1;;;47.jpg;
10047;KOSI MAKARON UKUS 3kg;8,12;9,50;;Tjestenina;1;;;10047.png;
10043;FIDELIN MALI UKUS 3kg;8,12;9,50;;Tjestenina;1;;;10043.png;
10044;SREDNJI MAKARON UKUS 3kg;8,12;9,50;;Tjestenina;1;;;10044.png;
10029;MALI MAKARON UKUS 3kg;8,12;9,50;;Tjestenina;1;;;10029.png;
10031;SPIRALA UKUS 3kg;8,12;9,50;;Tjestenina;1;;;10031.png;
10030;VELIKI MAKARON UKUS 3kg;8,12;9,50;;Tjestenina;1;;;10030.png;
J27;REZANAC FANTAZIJA 400g;1,41;1,65;1/10;Tjestenina;1;;;J27.png;
J28;ŠKOLJKICA FANTAZIJA 400g;1,15;1,35;1/20;Tjestenina;1;;;J28.png;
J29;MALI MAKARON FANTAZIJA 400g;1,15;1,35;1/20;Tjestenina;1;;;J29.png;
J30;VELIKI MAKARON FANTAZIJA 400g;1,15;1,35;1/20;Tjestenina;1;;;J44.png;
J31;SPIRALA FANTAZIJA 400g;1,15;1,35;1/20;Tjestenina;1;;;J31.png;
J32;ZVJEZDICA FANTAZIJA 400g;1,15;1,35;1/20;Tjestenina;1;;;J32.png;
J34;TARHANA KISELA FANTAZIJA 400g;1,15;1,35;1/20;Tjestenina;1;;;J34.png;
J35;TARHANA FANTAZIJA 400g;1,15;1,35;1/20;Tjestenina;1;;;J35.png;
J36;FIDELIN FANTAZIJA 400g;1,41;1,65;1/10;Tjestenina;1;;;J36.png;
J42;ŠIROKI REZANAC FANTAZIJA 400g;1,41;1,65;1/10;Tjestenina;1;;;J42.png;
J44;SREDNJI MAKARON FANTAZIJA 400g;1,15;1,35;1/20;Tjestenina;1;;;J44.png;
J47;KOSI MAKARON FANTAZIJA 400g;1,15;1,35;1/20;Tjestenina;1;;;J47.png;
